True,Predicted,Entry
Others,Peasant,又谕。据毕沅奏。卢氏县民常礼。因上年京兵过豫。经院司出示通饬。毋许派累。该犯捏称院司告示。系伊赴省呈请给发。欲为院司各竖德政碑。敛钱渔利。经该县饬差将碑扑毁。查拏严究。常礼即纠众拒捕。殴伤差役六人。先后身死。现将常礼等三十六名。拏获解省严审等语。兵差过境。原恐其累及闾阎。是以车辆一切。俱准其开销。毋许藉端苛派。该抚司能仰体朕意。出示通饬严禁。办理即属妥协。亦分内应办之事乃常礼等因有此体恤之事。转思从中敛钱渔利。已属可恶。迨经查拏。辄敢主使村人拒捕夺犯。伤毙差役至六命之多。更出情理之外。此等案犯。不可复以寻常首从而论其主谋首恶。及下手伤差。从旁助势各犯。均当从严办理以儆刁风。虽其余实系随从附和。迫胁同行者。其罪即不至于死。亦应问拟远遣。不可仍留内地。著传谕毕沅。即将玩获之常礼等三十六名。严审明确。从重办理。不得稍存姑息之见。其未获之王棫等五犯。并著饬属上紧缉拏务获。勿任远扬漏网。至河南民风。素称淳朴。朕初阅奏摺。尚恐系卫辉一带灾区。地方官办理不善。以致激成事端一再细阅。乃系陕州卢氏县之事。该县并非灾地。乃常礼等。意图渔利。辄敢殴差毙命。竟系乱民滋事。尚非该县之过。且该县因竖碑违例。即饬扑毁。一闻该犯等聚众殴差。即亲往拏获多人。尚属能事。著毕沅查明该县谢钟毓。如果平日居官尚好。俟事完后。即出具考语送部引见。将此由五百里传谕知之。
Peasant,Militia,刑部等衙门议覆。广西巡抚杨锡绂奏称。逆犯吴金银、主使杀官。拒伤官兵。应凌迟处死。杨老襄、手毙命官五员。逆恶已极。虽伏冥诛。仍应戮尸枭示。应如所请。从之。
Peasant,Militia,谕军机大臣等、漳泉一带。民俗刁悍。匪犯陈荐等、行踪诡秘、必有蓄谋为匪、聚众不法之事。非寻常劫盗可比。此案已拏获首夥四十余犯。监禁候质。若因案犯供吐赃证不实。辗转行查。稽延时日。恐致别滋事端。著传谕常青等、即速提犯严审。将聚众不法各情节。究讯明确。一面定拟具奏。一面先请王命。即将首要各犯正法。毋稍延缓稽诛。仍查明在逃未获各犯。速饬文武员弁。上紧查拏。按名弋获归案审办。
Militia,Others,丁巳。颁御制致变之源说。曰、禁城之变。必有本也。夙夜思之。盖有故焉。夫宋家庄一乱民。本无恶不为一棍徒耳。非有才德能感化人心。亦无邪术能混人耳目。惟利口澜翻。妄谈怪诞。假劫数以惑乱痴愚。遂其大逆之谋而已。愚民闻约而从不顾后患者何也。祇图目前之小利。所谓穷斯滥矣。舍生就死而不恤也。百姓困穷、为致变之源。而其本又在州县亦多困穷、无暇抚字也。治乱系于州县。必先有守而后有为。今则或困于亏缺。或困于民欠。或困于摊捐。有此三困。难为清官矣。官不清则民不畏。挟制控告。首足倒置。罔上之念。非一朝一夕之故。其所由来者渐矣。罪至于谋叛。刑至于凌迟。无可再加。而民不畏者。不识尊卑。不知利害也。官有廉耻。必有操守。方可言化导禁令。今之时势。官民交困。悠忽度日。难言操守。民反制官。若不竭力振作。患将未已也。邪说诱民。总以利动其贪心。贪心起则无恶不作矣。督抚大吏。诚能培养州县。使无匮乏。然后责以治理。奖善惩贪。至公无私。民心爱戴者为上等。畏服者次之。怨声载道者去之。经正民兴。未有不可教训之民。皆是不能教训之官耳。官困必取之于民。民穷则邪慝作。一定不易之理也。百姓足。君孰与不足。此理财之要道也。横征暴敛。所损益大矣。禁城之变。深感天恩。佑国除邪。彰明显著。朕若不知感畏。不勤政事。天必降灾。内外臣工。若仍挟诈怀私。因循观望。欺朕甚易。欺天甚难。身家性命。立时瓦解矣。内外臣工信朕之言。是朕大福。不信朕言。是朕之大不幸。亦诸臣之大不幸也。愿诸臣以实心行实政。以实力保国家。成全朕一片苦心。几篇絮论。或可稍赎前愆。勉收后效。朕有厚望焉。
Secret Society,Militia,又谕昨据勒保奏、长寿县魏家坝地方。有匪徒黄和尚等、纠约多人倡立糍粑会名目、或众骗钱。大肆焚掠。沿途分股裹胁。已有二三百人。不法已极。正在降旨办理闲。本日据勒保奏、该匪等纠聚多人、在石炭寨坡下屯扎、经该县率领练壮、会同守备黄化治、带兵亲往查拏、当时杀毙魏思悫等二十余名、又分投捕获黄和尚、但玉相等、男妇大小一百六十八名口、尚有余匪数十名、由涪州境内窜逸、复经该州营捕获三十余名、其余零星散匪、不及十分之一、现饬地方文武认真搜捕净尽等语。该匪等纠众立会。藉端敛钱。虽讯非蓄意谋逆。而因挟寨民首告之嫌。辄乘机焚掠勾结。甚至抗御官兵。实已罪无可赦。该省文武能即时歼擒殆尽。办理实属妥速。该县汤贻湄、于地方此等匪徒不能先时查察。致酿事端。本有应得之咎。惟于闻信后、率领兵练。即将该逆全夥办竣。其功过尚足相抵著加恩免其开参。至重庆守备黄化治、一闻该匪起事之信。不俟总兵唐文淑札饬。立即带兵赶剿。且歼获匪众多名。尚为奋勉出力。著交该督查明、如该匪等滋事地方非其所辖。则该守备竟系有功无过。即著据实保奏。候朕施恩。
Secret Society,Militia,又谕曰、李侍尧查奏揭阳县贼匪、爬城起衅缘由一案。据称该县先有陈阿高等、聚众结盟。经巡抚德保核审。拟以绞候。发回监禁。匪徒林阿裕等、与陈阿高交好。探知罪名已定。起意纠匪。潜谋劫狱纵放。遂乘该署县交卸之际。约期举事。潜匿城外。适遇民人洪阿四、携眷探亲。见而惊散。幼子落后。遂被杀死。匪众夤夜爬城。闻地保声喊。始行逃逸等语。林阿裕等、敢于潜谋劫狱。情罪实为可恶。已交李侍尧即速严审从重定拟矣。此案皆由陈阿高拟罪过轻。匪徒见其久系囹圄。遂尔潜谋滋事。致皆身罹重典。使陈阿高犯案时。即行正法。林阿裕等无隙可乘。转得杜其奸谋。亦即可全其躯命。所谓辟以止辟。用意正复如此。及查核原案。则陈阿高之问拟绞候。尚系德保比例加重。是此条旧定之例。原未允协。夫以歃血订盟。谓不分人数多寡。殊觉颟顸失当。岂以十人内外与多至四五十人者。漫无区别乎。即如陈阿高一案。结盟至四十余人之多。又系该犯起意聚众。且陈阿高、年仅二十二岁。案犯较其年长者尚多。而众皆推之为首。即属匪党巨魁。更非序齿结拜弟兄者可比。自当另定例条。以示创惩。所有陈阿高罪名、已谕令李侍尧、归于林阿裕等案内。从重定拟。至嗣后遇有此等案件、如何另行定例之处。著刑部详细妥议具奏。寻奏、凡异姓人。但有歃血订盟。焚表结拜弟兄者。照谋叛未行律。为首者、拟绞监候。为从、减一等。若聚众至二十人以上。为首者、拟绞立决。为从、发云贵两广极边烟瘴充军。其无歃血盟誓焚表事情。止序齿结拜弟兄。聚众至四十人之多。为首者、拟绞监候。为从、减一等。若年少居首。并非依齿序列。即属匪党巨魁。首犯、拟绞立决。为从、发极边烟瘴充军。如序齿结拜。数在四十人以下、二十人以上。为首者、杖一百。流三千里。不及二十人。杖一百。枷号两个月。为从、各减一等。从之
Secret Society,Militia,署广西巡抚杨锡绂提督谭行义奏报思恩府属迁江县有李彩李梅等。统众攻劫随星夜拨宾州兵一百名。提标兵一百五十名。委守备一员。前往应援。又酌拨左江镇庆远协忻城土县共汉土兵一千名。齐赴迁江今宾州营参将李发解统领剿捕。务期尽净毋使蔓延。得旨。所奏俱悉必使实在奸匪尽获毋致蔓延方可。若假捏姓名以图子局则将来何所底止耶。
Secret Society,Militia,又谕、据刘峨奏、于二十二日驰抵大名。据革职副将舒通额、差弁前赴肥乡。会同该县王步瀛、拏获素与段文经、徐克展等、来往人犯十名。又续获人犯五名。连前获七名。共已获二十二名。审讯大概情形。并搜获许三家所藏字纸咒语进呈一摺。该犯等邪教余孽。借焚香念咒为由。竟敢编造逆词。煽惑乡愚。公然纠众杀官。抢劫监库。看来竟有谋为不轨情事。实属罪大恶极。不可不彻底根究。翦灭根株。此时自又续获几名。为首之段文经、徐克展等、曾否就获。著传谕刘峨、即将已获各犯。审明正法后。余犯交与该道龙舜琴、上紧缉捕务获。即可起身前赴行在。毋庸在彼久住。转骇观听也。若尚不可离。即在彼严办。或竟往单县。同明兴速办。不必以遵旨来行在为急。至此案匪犯。籍隶大名元城者多。且为首之段文经、即系大名道衙门皂头。其往来纠约。必非一日。该道熊恩绂、夤夜被杀。固属猝不及防。而其在任时。不能先事访察。及早查拏。实有取死之道。再署副将舒通额、差弁跟缉。拏获匪犯多名。且贼匪滋事之夜。各贼听闻枪声。始行跑至西门。砍伤门军逃逸。被兵役追赶。枪伤数贼。是兵丁尚知奋勉捕贼。其被贼杀伤。由于众寡不敌。事起仓猝。非平日废弛怠玩者可比。著传谕刘峨、查明该署副将、于贼匪滋事时。如曾率兵擒捕。将来定罪时。即可稍为轻减。至该犯等纠众不法。据供欲救单县刘洪。况段文经在外歛银。托吕栋送入单县监内。转交刘洪。是该县监狱。竟毫无防范。匪犯得以肆行出入。已可概见。前经有旨。令明兴速往单县。监提刘洪究问。并查拏段文经、徐克展、吕栋等。此时自早已驰抵彼处。何尚未据该抚奏到。著传谕明兴、即将现获几犯。及讯问刘洪口供。迅速覆奏。此外未获要犯。著将刘峨奏到名单。钞寄阅看。各按姓名住址。令该抚躧缉务获。审明正法。毋使一名漏网。以净根株。又据刘峨奏到单内。未获逸犯张均德一犯。系肥乡县人。据称已赴河南汝阳县东西韩洞集村赵姓家藏匿等语。著传谕毕沅、迅速饬属严密查拏务获。审明取供具奏。
Others,Secret Society,又谕曰、庄有恭摺奏、拏获浙江造卖海票匪犯一案。内称饬行苏、松、太、三府州县。出示晓谕。凡有被诱买受海票者。许令据实自首。以净根株等语。此事当雅尔哈善奏到时朕即谓不过愚民诓骗钱财。非罗田叛党及传钞伪稿之比。今李大等既经拏获押赴浙省质讯。按律治罪足矣。若复出示晓谕。概令买票者据实自首。无论被诱之人。必不甘心自首且辗转搜求。未免张皇骇听。不应如此办理凡自首之条。俱属有名无实。不过完案时、以为余波耳。何足净尽根株耶。前经申祺奏及。朕明切晓谕。令不必行。将此并传谕庄有恭知之。
Non-Riot,Secret Society,谕军机大臣等、据孙永清奏、恭城县地方。盘获游僧元采、元贵、二名。起出护身榜文。捏写明时谕旨。大臣衔名。及地藏路引各一纸。据供、路引系安徽青阳县九华山僧人月朗、及在九华山出家之江西赣州僧人道立、给与募化。其榜文系义宁县僧人广盛给钞。一面将元采、元贵、严审定拟。一面飞。咨各省缉拏月朗、道立、广盛、各犯等语。游僧募化。编造榜文路引。辗转传播。最易滋生事端。安徽青阳县僧人月朗、江西赣州僧人道立、俱在九华山出家。捏造路引。妄行传给。均非安分之徒。自应查拏严办。至元采等所携榜文。系义宁县僧人广盛给钞。该犯欲赴江西、湖广、各处募化。其榜文来历。又系湖广僧人洪慧所遗。该犯等妄以护身榜文。互相传播。必须彻底严究。以杜煽惑。著传谕舒常、书麟、特成额、吴垣、一体饬属躧缉务获。严审定拟具奏。
Non-Riot,Secret Society,四川巡抚硕色奏、盗贼滋炽。现饬府州县设法缉捕。然不分别抚缉。亦恐饥寒之流。相率为贼。查川省荒地尚多。行令各属。先将可垦之地。踏勘登记。即令流寓失业之人垦种。先给执照。俟成熟之后。分别升科。得旨、川省向多奸匪。汝到任一日。即为汝之责矣。嗣后务须弭盗安民。以靖地方。至招垦一事。须妥协办理。则实为有益之事也。
Non-Riot,Secret Society,谕内阁、松筠等奏、查办恒杰控款、审明定拟一摺。前据晋昌奏恒杰呈控乌噜木齐地方、传习矢公邪教、并兴奎收受属员礼物、及仓库亏短、旗民命案各重情共十三款经朕特派松筠、会同长龄前往查审。今据松筠等提集人证逐款质讯。业据恒杰全行认诬。其所控款内、如传习矢公邪教一款。案情最重。兹讯明系乡愚打鼓治病。并无书符念咒、及授徒敛钱情事。恒杰呈出之小本符咒。系伊自行购买扶乩所用。伊前在领队大臣任内。曾头戴道冠道帽坐功念经。已据自将道冠经卷呈出。恒杰身为大员。自习异端转将自买符咒册本。作为凭据。诬人传习邪教。居心阴险可恶。并据恒杰供认与章京凤鸣强认同族。屡索资助。又向协领成格、巡检王吉士等、索借银两。因不满所欲。一并捏款诬告。卑鄙无耻。不堪已极。恒杰若仅照松筠等所拟、改发黑龙江充当苦差。该犯到戍后、又必故智复萌。别生事端。恒杰著仍发往伊犁永远枷号。不准开释。以为挟私陷害造言诬控者戒。至兴奎于恒杰指控各款。审属全虚。其收受提督定住赙赠银两。系友朋交际。与赃私不同。惟得受总兵阎俊烈银两。并于年节收受州县馈送食物。咎有应得。业经革职已足蔽辜。兴奎著免其发遣饬令回旗。
Non-Riot,Militia,谕军机大臣等、山西巡抚员缺。已令勒保补授。该省向属安静无事。现大名一案首犯段文经、徐克展等、及伊阳县逃犯秦国栋、皆未就获。或向晋省逃窜。亦未可定。是该省此时。须查拏邻境逆犯。最为紧要。勒保接奉此旨。著速赴新任。毋庸前来行在请训。到任后。务须实力上紧。督率所属员弁。将段文经等各犯。迅速搜捕。按名擒获。毋使远扬潜匿。漏网稽诛。以副简用之意。
Non-Riot,Militia,浙江总督李之芳疏报、臣标下随征福建游击王世望等、率领官兵、搜剿龙游逆贼。擒斩甚多。又严州副将鲍虎、率领官兵、奋勇杀贼。连夺险隘四处。一日六战六捷。焚毁贼巢。恢复寿昌。得上□日嘉奖、下部议叙
Non-Riot,Militia,川陕总督岳钟琪疏报。四川建昌镇属、喇汝窝贼番。素行不法。嗣经擒巢□刀平定。复有逆番了马车。纠党抢劫。随拨兵进巢□刀。于本年七月十八日、擒获了马车。贼党以次就擒。番疆底定。下部知之
Non-Riot,Militia,贵州总督赵廷臣奏报、逆贼冯天裕等、窜伏山寨、勾结亡命。先陷湄潭。嗣犯瓮安。臣调思南、平越、遵义、偏桥各路官兵、击破贼营。斩天裕、及伪总兵冉宗孝等。余党悉平。下所司知之。
Secret Society,Peasant,又谕曰、姚棻奏、拏获临川县民张必发等十二犯。结党诱赌滋事。审明定拟一摺。内称、张必发等藉墟会酬神为名。结拜兄弟。纠党诱赌。并有强当强买之事。民间因其凶恶。指为天罡地煞名目。该犯等即以天罡为会名。每借庙会敛钱打架。扰害地方等语。此案张必发等立会敛钱。强梁滋事。殊属不法。乃该抚摺内。称天罡地煞。实是乡间诟骂恶人之语。为之声叙。以冀化大为小。甚属非是。试思天罡地煞。系水浒传奇所造名目。设为夸大之词。以肆其横行抢夺。姚棻岂未之见。非若川省呼匪徒为＜⿰口固＞噜。语涉詈骂者可比。安得以天罡为詈骂之言。曲为解免耶。况该犯等既聚集多人。而乡民以天罡会指为诟骂。该犯等岂肯直居其名。外省地方官办理案件。往往规避处分。化大为小。积习相沿。牢不可破。即如闽省天地会。改为添弟会。有心隐饰。即其明证。姚棻曾任闽粤。岂不闻知。虽张必发等纠党滋事。不过意在敛钱。讯无别项不法情事。然该地方官有意消弭。以天罡系詈骂之词。代为开脱。该抚不行详察。遽尔入告。转致案情不实。姚棻著传旨严行申饬。至此案虽非纠众抢劫滋事。但既聚有十二人之多。为首之犯。亦应加重问拟绞罪。方足示惩。著传谕姚棻、再行提犯严鞫。务得确情。另行定拟具奏。以成信谳。寻奏、提到各犯。率同两司悉心推鞫。据供、天罡会名目。系外人所指。后即藉此恐吓乡愚。供认明确。实与自立无异。批、若是骂语。何以藉名恐吓人。此即足见汝不明白矣。又奏、聚会结盟。罪无可逭。已将首犯张必发、从重拟绞。余犯亦俱加重定拟。得旨、览。
Secret Society,Peasant,又谕。据御史陆秩奏称、福建汀州、兴化、等府。民风刁悍。宁化县地方。有所谓銕尺会。又有十三太保。銕尺会者。自宁化、上杭、清流、等县、以至汀州府治。所在多有。一味行凶为事。欺侮善良。藐视王法等语。闽省民俗刁悍。屡经降旨、饬谕督抚。加意整饬。今此等恶徒。藐法抗官。专以行凶为事。尤宜大加惩儆。著将此摺抄寄喀尔吉善。令其留心实力稽查。严拏尽法处治。务令断绝根株。毋事姑息。酿恶长奸。以为民害。
Peasant,Non-Riot,奉差河南审事刑部尚书张廷枢等疏言、审据河南府知府李廷臣供、去年河南府属十四处、每地一亩、派银四厘。系原任巡抚。李锡、传八府知府面谕照派。又李锡发河南府瘦马二百九十七匹、每匹交银十二两。粮驿道戴锦、转发马八十四匹、每匹交银十二两五钱。除提问布政使张伯琮、粮驿道戴锦外、请敕吏部、问取李锡确供发臣、以便与张伯琮等所供、核对定议。得上□日、李锡、著革职、速行发往质对。
Secret Society,Non-Riot,又谕、现在官兵。分路进剿金川。虽值大雪。未能克期冞入。向后天晴日暖。便易于得手。要之此举。有进无退。不灭不休。况各路兵精粮足。而运饷一事。董催筹办。并有专司。自可无虞不继。新正业经降旨、拨部库银五百万两。解川备用。连前共一千九百余万。未知此项银两。足敷几时之用。目下军务尚未就竣。或再迟数月。亦未可定国家帑藏方盈。即再拨数百万。仍属宽然。著传谕刘秉恬、富勒浑将已拨之项。通盘核计。约可用至今年几月如尚须续拨。务豫行奏闻。则自京拨往更可从容运解沿途亦不虑稽延且军需备项有余诸事皆便于措置果用之得当朕必不稍有所靳。刘秉恬、富勒浑即速核实覆奏至于运粮人夫一事。最为紧要从前阿尔泰初办时茫无定见既将远道民夫亦同派往。致愚氓惮于远涉。接踵逃亡。甚至因而派及里下尤非朕子爱元元之意。曾屡降谕旨令各妥协筹办究未知经理若何。即如逃夫一节。如果受雇在官按例给价并非白用民力此而敢于逃匿误公。自当惩之以法。倘系地方官办理不善。或奸胥蠹役。从中侵扣雇值致令长途奔走。饥馁困乏。不得已而中路潜逃。其咎又不专在民。即当查明舞弊官役。尽法严治。日前刘秉恬曾奏及此。已如所请。但刘秉恬现在军营。派夫乃内地为政。自当责成于富勒浑、川省办理军需。一切皆官为给发。从不肯丝毫扰及闾阎。而挽运之劳。自不能不稍资民力。既已予之雇值。又复蠲缓频施。民非无良。岂有不知感奋自效者。今在站之夫。或有逃匿。已交刘秉恬等、随时严切查拏。自可渐知守分畏法。至于各属拨用人夫时。富勒浑当留心体察。若有不肖官吏。或拟派不均。或藉端科敛。致乡愚情不能堪。酿成事衅。所关非浅。且川省向有啯匪一种。最为不法。设或经理失当。使此辈乘隙妄为。尚复成何事体。今边徼军务未竣。内地尤宜加意抚辑。倘不实心察吏。致民情稍不宁帖。惟于富勒浑是问。恐彼不能当其咎也
