ID,ID2,year-month,page,province,prefecture(py),xian(py),lower units,content,form1,form2,form3,violence,leader,participants,issue,,state-engaging,state-resisting,violent,non-violent,riot-count
,1797,,,,,,,,,,,,,,,,0,0,0,0,0
,1798,,,,,,,,,,,,,,,,0,0,0,0,0
310,1799,JQ4-4,28-519,Zhili,Shuntian,"Wanping, Ji Xian",,demanding government action,petition,,,,縣民,縣民,呈請開礦,,1,4,2,3,5
316,1800,JQ5-4b,28-882,Guangdong,Huizhou,Boluo,,resistance,attacking government agents,,,Yes,百姓,百姓,反催糧,,1,3,3,1,4
320,1801,JQ6-10,29-181,Zhili,Tianjin,,,demanding government action,petition,,,,老幼男婦,老幼男婦,求賑,,4,1,2,3,5
325,1802,JQ7-1,29-260,Zhili,Shuntian,Beijing,,resistance,attacking government agents,resisted arrest,,Yes,賊犯,賊犯,拒捕傷兵,,1,1,1,1,2
327,1803,JQ8-9,29-609,??,??,,,resistance,attacking government agents,resisted arrest,,Yes,不安分之徒,不安分之徒,拒捕傷兵,,0,3,2,1,3
330,1804,JQ9-2,29-707,Hubei,Hanyang,Mianyang zhou,,resistance,attacking government agents,resisted arrest,,Yes,民人,民人,不服彈壓,,2,5,6,1,7
337,1805,JQ10-5,29-973,Jiangsu,Suzhou,Wujiang,,demadning government actioin,protest,,,,刁生劣監,刁生劣監,閙曹規,,1,0,0,1,1
338,1806,JQ11-7,30-132,Gansu,Ningxia,,,demanding government action,protest,looting,assasinating government officials,Yes,兵丁,兵丁,求停止折米,,1,0,1,0,1
339,1807,JQ12-1,"30-265, 269, 295, 298, 353",Shaanxi,Ningshan ting,,,resistance,protest,mutiny,,,新兵,新兵,反遣散,,6,5,2,8,11
350,1808,JQ13-8,30-660,Zhili,Shuntian,Beijing,,resistance,attacking govenrment office,,,Yes,官,家奴,搶牌文,,0,1,1,0,1
351,1809,JQ14-5,30-850,Shaaxi,Xi'an,Ningxia,,resistance,looting government office,,,Yes,營兵,營兵,搶掠官府,,1,3,1,2,4
355,1810,JQ15-4,31-62,Guangxi,Zhen'an,Tianbao,,resistance,attacking government offices,looting government office,release arrested,Yes,土人,土人,奪犯劫署,,2,2,2,2,4
359,1811,JQ16-5,31-274,Zhili,Shuntian,Beijing,,resistance,attacking govenrment agents,resist arrest,,Yes,賊犯,賊犯,拒捕,,0,2,2,0,2
361,1812,JQ17-3,31-446,Shanxi,Xi'an,Ningshan,,demanding governemnt action,petition,,,,士民,士民,請築城,,3,1,1,3,4
365,1813,JQ18-8,31-693,Zhili,Chengde,,,resistance,attacking government agents,resisted arrest,,Yes,逃犯,逃犯,率眾拒捕,,0,2,2,0,2
367,1814,JQ19-1,"31-851, 858, 865, 872, 878, 880, 895, 898, 904, 914, 32-22",Shaanxi,Fengxiang,Qishan,Sancai xia,resistance,attacking government agents,resisted arrest,,Yes,饑民傭工,饑民傭工,抗拒官兵,,0,4,4,0,4
371,1815,JQ20-6,32-74,Guangdong,Zhaoqing,Yangjiang,,resistance,attacking government agents,revenge for laying off,,Yes,革兵,賊匪,搶奪師船,,1,3,4,0,4
375,1816,JQ21-1,32-187,??,,,,resistance,storming government office,attacking government agents,,Yes,兵丁,革兵,復仇傷差,,1,1,1,1,2
377,1817,JQ22-1,32-302,Shandong,Yanzhou,Yi xian,Yinping ji,demanding government action,petition,,,,無業貧民,無業貧民,攔輿求食,,5,3,3,5,8
385,1818,JQ23-3,32-488,Shandong,Qingzhou,"Gaoyuan, Boxing, Le'an",,demanding government action,petition,,,,民人,民人,求減慢上游放水,,1,2,2,1,3
388,1819,JQ24-4b,32-711,Zhili,Shuntian,Beijing,,??,petition,,,,民人,民人,叩閽,,0,3,2,2,3
392,1820,JQ25-5,32-893,??,,,,resistance,attacking government agents,,,Yes,鹽販,鹽販,拒捕,,0,3,3,1,3
396,1821,DG1-5,"33-336, 754",Jiangsu,Taicang,Jiading,,resistance,protest,,,,土豪,鄉民,閙漕,,0,4,3,1,4
400,1822,DG2-1,33-510,Hunan,Changsha,Liling,,resistance,protest,disrupting tax collection,,,生監,縣民,挾制官長,,3,3,4,2,6
405,1823,DG3-1,33-854,Zhejiang,Ningpo,Fenghua,,resistance,attacking government agents,,,Yes,私販,私販,拒捕傷差,,1,3,4,0,4
408,1824,DG4-5,34-81,??,,,,resistance,attacking government agents,,,Yes,水手,水手,聚衆拒捕,,0,1,1,0,1
409,1825,DG5-2,34-273,Zhejiang,Ningbo,Zhenhai,,resistance,feud,attacking government agents,,Yes,龜戶,龜戶,鬥毆毆官,,0,5,2,3,5
414,1826,DG6-2,34-549,Guandong,Jiaying,,,resistance,attacking governemnt agents,litigation,,Yes,州民,州民,持械拒捕,,1,3,3,1,4
418,1827,DG7-3,34-928,Zhili,Shuntian,Beijing,,demanding government action,looting government property,,,Yes,棍徒,棍徒,搶劫官物,,1,1,1,1,2
420,1828,DG8-6,"35-109, 133, 155, 214, 279, 280, 420",Zhili,Daming,Kai zhou,,resistance,attacking government agents,,,Yes,逸盜,逸盜,糾眾奪犯,,1,5,3,3,6
426,1829,DG9-1,"35-300, 302",Shaaxi Gansu,,,,resistance,protest,,,,新兵,新兵,反口糧不足,,1,2,1,2,3
428,1830,DG10-3,35.569.166.5-6,Gansu,Liangzhou,,,demanding gov't action,violence,,,yes,流民、新兵,流民、新兵,搶糧,,4,4,4,4,8
435,1831,DG11-6b,35.1023.191.27-29,Jiangsu,Yangzhou,Gaoyou zhou,,resistance,protest,,,,農民,農民,反對放水,,6,3,3,6,9
443,1832,DG12-2a,36.27.205.22,Jiangsu,Changzhou,Wujin,,resistance,violence,,,yes,革生,民衆,糾眾拒捕,,3,15,14,4,18
456,1833,DG13.7b,36.612.241.21-3,Guangxi,Sicheng,Xilong,,resistance,protest,,,,兵丁,兵丁,反對禁屠,,4,1,2,3,5
461,1834,DG14.5,36.815.252.8-9,Jiangxi (Hubei?),Jiujiang,,Jiujiang guan,resistance,protest,,,,漕船,漕船,抗稅,,1,5,4,2,6
466,1835,DG15.5,37.87.266.16-7,Zhili,Yongping,,,demanding gov't action,petition,,,yes,農民,農民,求賑,,1,2,3,0,3
468,1836,DG16.1,37.271.277.16-8,Gansu,Qin zhou,,,resistance,market strike,,,,民人,民人,反對衙役招搖,,2,13,9,7,15
482,1837,DG17.7,37.647.299.26-7,Hunan,Changsha,Xiangxiang,,resistance,violence,,,yes,匪徒,匪徒,抗糧,,0,5,5,0,5
485,1838,DG18.3,37.781.307.4,Hubei,Huangzhou,Qi zhou,,resistance,violence,,,yes,州試文童,州試文童,反對書役鎮壓口角,,0,10,8,2,10
491,1839,DG19.3,37.1004.320.6-7,Zhejiang,Taizhou,,,resistance,protest,litigation  ,,,文生,文生,反對恊副砍樹,,0,3,3,1,3
